,CustomerKey,GeographyKey,Fullname,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned
0,1,680,Jon Yang,08/04/1966,M,M,102252,2,0,Bachellors,Professional,1,0
1,2,692,Eugene Huang,14/05/1965,S,M,60000,3,3,Bachellors,Professional,0,1
2,3,493,Ruben Torres,12/08/1965,M,M,60000,3,3,Bachellors,Professional,1,1
3,4,519,Christy Zhu,15/02/1968,S,F,70000,0,0,Bachellors,Professional,0,1
4,5,706,Elizabeth Johnson,08/08/1968,S,F,80000,5,5,Bachellors,Professional,1,4
5,6,478,Julio Ruiz,05/08/1965,S,M,70000,0,0,Bachellors,Professional,1,1
6,7,509,Janet Alvarez,06/12/1965,S,F,70000,0,0,Bachellors,Professional,1,1
7,8,568,Marco Mehta,09/05/1964,M,M,60000,3,3,Bachellors,Professional,1,2
8,9,425,Rob Verhoff,07/07/1964,S,F,60000,4,4,Bachellors,Professional,1,3
9,10,492,Shannon Carlson,01/04/1964,S,M,70000,0,0,Bachellors,Professional,0,1
10,11,478,Jacquelyn Suarez,06/02/1964,S,F,70000,0,0,Bachellors,Professional,0,1
11,12,478,Curtis Lu,04/11/1963,M,M,60000,4,4,Bachellors,Professional,1,4
12,13,442,Lauren Walker,18/01/1968,M,F,100000,2,0,Bachellors,Management,1,2
13,14,500,Ian Jenkins,06/08/1968,M,M,100000,2,0,Bachellors,Management,1,3
14,15,677,Sydney Bennett,09/05/1968,S,F,100000,3,0,Bachellors,Management,0,3
15,16,443,Chloe Young,27/02/1979,S,F,30000,0,0,Partial College,Skilled Manual,0,1
16,17,494,Wyatt Hill,28/04/1979,M,M,30000,0,0,Partial College,Skilled Manual,1,1
17,18,699,Shannon Wang,26/06/1944,S,F,20000,4,0,High School,Skilled Manual,1,2
18,19,425,Clarence Rai,09/10/1944,S,M,30000,2,0,Partial College,Clerical,1,2
